text,episode_title,author,position
"Today we're talking all about habits. In particular, we're going to discuss the biology of habit formation and the biology of how we break habits. Habits organize our behavior into more or less reflexive actions. So we don't have to think too much about performing the various behaviors that for instance allow us to brush our teeth or which side of bed we roll out of in the morning and then of course Habits can be more elaborate too. We can be in the habit of exercising at a particular time of day. We can mean the habit of eating certain foods. We can be in the habit of saying or not saying certain things But of course there are many habits that don't serve us well or that perhaps even undermine Our immediate and long term health goals and psychological goals and even some habits that can really undermine our overall life goals So today we're going to talk about making—meaning forming and breaking—meaning stopping various habits There's a lot of information out there about habits You'll find this in the popular sphere. There are books there are articles there are workshops and so forth However, lesser known is that there's a whole neuroscience of habit formation and habit breaking and there's a whole ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.03125
field of Psychology devoted to understanding habit formation and habit breaking and within those scientific literatures I think there are some real gems that at least to my knowledge We haven't paid too much attention to in the popular sphere So today we're going to talk about the biology of habit formation and habit breaking I'm also going to spell out two specific types of habit formation and habit breaking programs I'm going to boil these down to some very explicit steps that anyone can use My reasoning for doing that is first of all it's the end of 2021 Many people are thinking about New Year's resolutions. Habits are things that our nervous system learned but not always consciously Sometimes we develop habits that we're not even aware of Until they become a problem or maybe they serve us well who knows But the fact of the matter is that habits are a big part of who we are What we do habitually makes up much of what we do entirely in fact It's estimated that up to 70% of our waking behavior is made up of habitual behavior So you can imagine that there's a lot of biology meaning cells and hormones and neural pathways etc That are going to support the development of those habits. So if habits are largely ,The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.04375
learned consciously or unconsciously We have to ask ourselves what is learning? Well learning is neuroplasticity Neuroplasticity is simply the process by which our nervous system changes in response to experience We have to ask what changes? Well what changes are the connections between neurons? Neurons are just nerve cells they communicate with one another by electricity and by sending chemical signals to one another That inspire the next neuron and the next neuron to either be electrically active or not But at the end of the day neuroplasticity is about forming new neural circuits new pathways by which certain habits are likely to occur and Other ones are less likely to occur So we've got habits we have that habits are learned we have that learning involves neuroplasticity and that neuroplasticity involves changes in the Connections between neurons nerve cells. THE GAME IS BRAIN CHANGE. Everything we discuss is about ultimately making certain patterns more likely to fire and others less likely. Those two areas point to some very interesting aspects of habits that I think are worth mentioning. First of all is this notion of immediate goal based habits versus identity based habits. ,The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.06875
"Immediate goal based habits are going to be habits that are designed to bring you a specific outcome As you do them so each and every time you do them So for instance it might be that you want to develop a habit of getting 60 minutes of Zone two cardio each day or perhaps you know three four times a week as we head into the new year I've talked before on the podcast about the fact that the scientific literature and the health literature really points to the Incredibly positive effects of getting a hundred and fifty minutes to a hundred and eighty minutes per week minimum of What's called zone two cardio zone two cardio? It's basically any cardiovascular exercise that gets you moving and your heart pumping and breathing But not so hard that you can't hold a conversation It kind of puts you at the threshold of being just able to have a conversation That's a little bit strange But if you were to exercise a little bit harder, you know run a little bit faster, etc. You wouldn't be able to talk while you did it There's a lot of literature that points to that as a healthy practice So maybe you're somebody that wants to get more of zone two cardio for instance That would be an immediate goal based habit if your goal is to ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.0875
"Get that cardio maybe a four times a week Every time you do it you could check off a little box and you'd say, okay, I did it you meet you met the goal. That is different than so called identity based habits where there's a larger overarching theme to the habit Where you're trying to become quote unquote a fit person or you're somebody who wants to be an Athlete or something of that sort it's where you start to attach some sort of larger picture about yourself or what it means for you to do that habit Where there's both the immediate goal right complete the exercise complete the the session or whatever it is Check off that box, but that you're linking it to some sort of larger goal. Now, why am I making this distinction? I mean first of all, I'm not the one to first make this distinction others have made the distinction between identity versus immediate goal based habit formation But the reason I'm making the distinction is that pretty soon in our discussion today We are going to talk about dopamine a molecule that's associated with motivation and reward that we make in our brain and How different schedules of dopamine release predict whether or not we will stick to a habit or not and in particular Whether ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.10625
or not we will be able to form that habit quickly or not now This is absolutely critical to understand for the following reason another thing that you'll hear out there in the literature is that it takes 21 days to form a habit Some people say 18 some people say 21 some people say 30 days some people say 60 days So which one is it does it depend on the habit that one is trying to form or does it depend on the person that's trying to form the habit Well turns out that there's excellent peer review data on this. There's a study published in 2010 first author Lally LLY This study found that for the same habit to be formed It can take anywhere from 18 days to as many as 254 days for different individuals to form that habit the reason I bring this up is that I always get asked Is it true that it takes 21 days to form a habit? Is it true that your nervous system changes in six days when you're doing something repeatedly? And the answer is as I mentioned before it's highly variable What I didn't tell you actually was what specific habit they were looking at in that Lally study and It's interesting that's the specific behavior was a health related behavior It's pretty relevant to our discussion here on the podcast which was taking ,The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.125
walks after dinner It's actually a really nice literature showing that walks after a meal can speed glucose clearance from the blood stream Can be beneficial for not just weight loss but cardiovascular health etc. So a walk after dinner seems pretty straightforward Right well in order to form that habit it took some people 18 days and other people 254 days how did they know when they formed the habit well they were doing it about 85% of the time and They also reported not having to spend that much mental Effort in order to get into the mode of taking a walk after dinner So for those of you listening some of you might be thinking I can't believe that it would take some people 254 days to get into that habit But as I said people are highly variable and if you can't form one habit easily it doesn't mean that you can't form other habits easily The mystery of why certain people can form certain habits more easily than others Probably has something to do with how well people manage what's called limbic friction now limbic friction is not a term that you're going to find in In the formal neurobiological literature or even psychological literature It's frankly a term that I coined to encompass a number of different ,The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.13125
pieces of the psychology and neuroscience literature limbic friction is a shorthand way that I use to describe the strain that's required in order to overcome one of two states within your body one state is one of anxiousness where you're really anxious and therefore You can't calm down you can't relax and therefore you can't engage in some particular activity or thought pattern that you would like The other state is one in which you're feeling too tired or lazy or not motivated Both of those states feeling too alert and too calm if you will relate to the function of the so called autonomic nervous system a set of neurons and hormones and chemicals in your brain and body that act as sort of a seesaw you're either alert or calm You're either asleep or stressed those two states are not compatible with one another you probably heard of wired Entire but that's really once you've been very stressed for a long time to the point where you're exhausted What does the autonomic nervous system have to do with any of this well limbic friction is A phrase that can be used to describe how much effort how much activation energy You need in order to engage in a particular behavior. So using this Lally study as an example ,The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.1375
"Some people would eat dinner and then say oh, that's right. I'm trying to develop the habit of taking a walk after dinner So let's get up and go other people will feel like I just don't want to do it today They're going to feel too much limbic friction and that limbic friction could arrive again from one of two sources It could be because they are too tired to do it or it could be because they're too anxious and distracted in order to do it So this is a key distinction a lot of habit formation has to do with being in the right state of mind and being able to control Your state of body and mind. A LOT OF WHAT WE DISCUSS WILL INVOLVE OVERCOMING LIMBIC FRICTION? So as we march forward what you're going to find is that this phrase or this term limbic friction is going to be a Useful metric or way for you to touch in with yourself and address whether or not you are likely to be able to form a certain Habit easily or whether or not it's going to be very challenging and I'm going to teach you a way to measure your degree of limbic friction That is how much activation energy it will take in order for you to execute a new habit and I'm going to teach you how to measure your limbic friction and activation energy for how likely it is that ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.15625
you're going to be able to break a habit That you don't want to have the other key concept for us to address That's really mainly found in the books and articles out there about habits is this notion of what I call linchpin habits Linchpin habits are certain habits that make a lot of other habits easier to execute Now that sorts of linchpin habits that I'm referring to are always going to be things that you enjoy doing I'll just give you an example from my life. I happen to like exercise not all forms of exercise But I happen to like resistance training and I happen to like running So I'm personally in the habit of getting cardiovascular exercise three or four times per week maybe 30 to 60 minutes per session And I'm in the habit of doing resistance training three or four times per week Typically also for about 45 to 60 minutes per session Now I enjoy those and for reasons that I'll get into a little bit later. I place those activities typically early in the day Because of the neurochemistry and the various types of hormones etc. That are associated with performing those activities But I really place those activities under the umbrella of what I call Linchpin habits why because those particular habits are ,The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.175
